# N1 latencies, N1 deflection, N1 Magnitude, SNR condition, EEG Session Counter, Experiment, Session, 1st RT percentiles, 10th RT percentiles, 30th RT percentiles, 50th RT percentiles, 70th RT percentiles, 90th RT percentiles, RT means, Cutoffs, Percent Removed, True Subject Index, Accuracy
163.0000,9.0000,-618.8065,2.0000,17.0000,1.0000,1.0000,554.7200,610.2000,665.4000,798.0000,913.2000,1177.0000,844.8224,0.0000,0.0000,6.0000,0.7850
162.0000,34.0000,-587.4634,2.0000,18.0000,1.0000,2.0000,462.3500,523.5000,582.0000,653.0000,749.0000,938.5000,699.2170,0.0000,0.0000,6.0000,0.7736
165.0000,88.0000,-411.6179,2.0000,35.0000,2.0000,7.0000,490.3200,556.6000,684.6000,804.0000,970.0000,1195.0000,850.6239,0.0000,0.0000,11.0000,0.9817
173.0000,49.0000,-405.7983,1.0000,17.0000,1.0000,1.0000,408.0800,537.0000,620.6000,733.0000,865.2000,1097.8000,788.5140,0.0000,0.0000,6.0000,0.7757
168.0000,71.0000,-384.6847,1.0000,18.0000,1.0000,2.0000,320.2800,425.6000,561.4000,651.0000,736.8000,868.0000,658.4646,0.0000,0.0000,6.0000,0.7677
161.0000,82.0000,-383.1133,2.0000,28.0000,1.0000,2.0000,482.3800,614.8000,727.6000,880.0000,1016.0000,1181.8000,893.0291,0.0000,0.0000,11.0000,0.7573
156.0000,84.0000,-379.7177,2.0000,15.0000,1.0000,1.0000,458.1000,544.4000,696.4000,841.5000,970.9000,1192.1000,855.6019,0.0000,0.0000,5.0000,0.6852
162.0000,86.0000,-372.9714,2.0000,34.0000,2.0000,6.0000,606.1600,682.1000,880.5000,983.5000,1142.3000,1330.4000,1004.2157,0.0000,0.0000,11.0000,0.9412
166.0000,86.0000,-343.6738,2.0000,32.0000,2.0000,4.0000,529.4000,575.0000,655.0000,744.0000,900.0000,1170.0000,818.4595,0.0000,0.0000,11.0000,0.9369
162.0000,68.0000,-341.7748,2.0000,27.0000,1.0000,1.0000,561.3000,613.5000,743.5000,893.0000,1041.0000,1273.0000,922.3019,0.0000,0.0000,11.0000,0.6887
166.0000,88.0000,-336.7066,2.0000,31.0000,2.0000,3.0000,475.0000,573.0000,638.0000,730.0000,936.0000,1123.0000,806.7838,0.0000,0.0000,11.0000,0.8739
166.0000,90.0000,-328.6677,2.0000,33.0000,2.0000,5.0000,556.4000,615.4000,725.2000,828.0000,1050.6000,1278.6000,915.5596,0.0000,0.0000,11.0000,0.9174
180.0000,90.0000,-316.2114,1.0000,35.0000,2.0000,7.0000,597.8000,656.2000,801.6000,961.0000,1107.8000,1250.8000,957.1468,0.0000,0.0000,11.0000,0.9725
165.0000,69.0000,-313.8327,2.0000,23.0000,1.0000,1.0000,538.6000,648.0000,773.2000,916.0000,1015.4000,1238.8000,922.6421,0.0000,0.0000,9.0000,0.7263
160.0000,59.0000,-299.4934,2.0000,37.0000,1.0000,2.0000,415.0900,455.0000,503.0000,552.0000,613.2000,760.1000,581.1923,0.0000,0.0000,12.0000,0.6442
166.0000,88.0000,-296.8837,2.0000,30.0000,2.0000,2.0000,444.8000,564.5000,665.5000,754.0000,955.0000,1216.5000,838.2642,0.0000,0.0000,11.0000,0.8774
155.0000,87.0000,-289.4834,2.0000,10.0000,1.0000,2.0000,413.3200,478.2000,526.4000,605.0000,701.8000,937.0000,644.9450,0.0000,0.0000,2.0000,0.8257
168.0000,57.0000,-284.2428,2.0000,26.0000,1.0000,2.0000,396.8300,468.6000,565.6000,676.5000,805.8000,986.9000,712.4043,0.0000,0.0000,10.0000,0.7340
